Product_ID,Product_Name,Brand,Model,Category,Market_Price,Purchase_Amount,Discount_Applied,Rating,Feedback,Customer_ID,Age,Gender,City,Purchase_Date,Payment_Method,Repeat_Customer,Competitor_Name,Competitor_Model,Competitor_Price,Competitor_Rating,Promotion_Competitor,Market_Share,Competitor_Feedback,Name_Brand_Model_Match,Category_Match,Fixed_Category
PRD33554,Dress,Nike,Nike Tech Fleece Dress,Electronics,327.24,327.24,No,4.1,Packaging issue,d58d2c4a-9dd4-4266-be65-49e9424896b0,36,Female,Marvinchester,2022-11-21,Cash on Delivery,No,Zara,Satin Slip Dress,60,3.4,Yes,30,Damaged item,True,False,Clothing
PRD12448,Smartphone,LG,LG Note Plus 12,Electronics,236.15,189.3,Yes,4.4,Value for money (positive),180e608a-09b1-407f-9613-cbeff083d84b,39,Male,Lake Robert,2024-01-27,Debit Card,No,Xiaomi,Redmi Note 12,50,4.0,No,10,Durable product,True,True,Electronics
PRD42725,Smartwatch,Samsung,Galaxy Watch6,Electronics,104.2,96.14,Yes,4.4,Durable product,59c92b6a-60f1-40c0-924d-0480f0872341,25,Female,Port Timothyside,2023-06-20,Debit Card,Yes,Apple,Watch Ultra,70,4.5,Yes,30,Battery drains fast,False,True,Electronics
PRD10823,Curtains,Whirlpool,Whirlpool Thermal Curtain Set,Electronics,215.56,152.1,Yes,3.4,Heating problem,2163321f-f2ce-47b4-8d08-6e7cdb964db1,45,Female,South Jeffrey,2023-08-15,Debit Card,No,Target,Room Darkening,60,3.5,No,10,Battery drains fast,True,True,Electronics
PRD18472,Shampoo,Nivea,Anti-Dandruff Power,Beauty,497.0,497.0,No,3.6,Slow delivery,9fe87b72-5054-45bc-a1e5-9dc72a79002e,55,Male,West Peterland,2022-11-03,Cash on Delivery,No,Head & Shoulders,Classic Clean,60,4.4,No,30,Heating problem,False,True,Beauty
PRD15178,Dress,Nike,Nike Sportswear Dress,Electronics,399.4,286.29,Yes,3.6,Value for money (positive),ba4ef45d-d9b5-4ae0-bf93-9883a59e8b65,30,Female,Kevinview,2024-11-13,Credit Card,No,Zara,Satin Slip Dress,60,4.0,No,10,Packaging issue,True,False,Clothing
PRD34305,Lamp,Hp,SHP LED Desk Lamp,Electronics,374.3,290.79,Yes,3.2,Low quality,7041f59f-d18e-48b3-878f-c355504612d7,25,Female,Chrisfurt,2023-06-03,Cash on Delivery,No,Panasonic,Desk Lamp SQ-LD221,60,4.1,No,30,Satisfied customer,True,False,Electronics
PRD12610,Dress,Puma,Puma Classics Dress,Electronics,56.38,48.79,Yes,4.4,Usability issue,7b4d30dd-e040-4767-b4fa-cc96e8d1e160,51,Male,New Joshua,2024-12-07,Cash on Delivery,Yes,Nike,Sportswear Dress,50,4.3,Yes,20,Low quality,True,False,Clothing
PRD00822,Sofa Cover,LG,KLIPPAN Cover,Electronics,135.13,135.13,No,3.8,Satisfied customer,c8eda97a-8daa-4cb4-89f4-a2074ed5937f,20,Male,East Nicholas,2023-07-23,Debit Card,No,Wayfair Basics,Microfiber Slipcover,50,2.9,No,10,Heating problem,False,False,Home
PRD15119,Smartwatch,Apple,Apple Watch Series 8,Electronics,67.97,59.77,Yes,4.0,Durable product,a6e6cb77-0cb4-4ac5-997c-33d651da8a41,60,Female,East Jeffery,2022-09-17,Cash on Delivery,No,Fitbit,Charge 6,280,4.0,No,45,Damaged item,True,True,Electronics
PRD13467,Jacket,Mango,Essentials Down Jacket,Beauty,14.42,14.42,No,3.7,Heating problem,42d1255e-1f34-431f-a6db-90407f8b60b2,46,Female,North Marymouth,2025-07-17,Cash on Delivery,Yes,Nike,Windrunner,80,4.4,Yes,40,Slow delivery,True,False,Clothing
PRD42112,Headphones,Apple,AirPods Max,Electronics,69.52,60.03,Yes,4.3,Heating problem,016e046e-09e2-427d-925b-bf1a52ae9c29,26,Female,Mariaton,2024-06-12,Credit Card,No,JBL,Tune 230NC,280,3.2,Yes,40,Damaged item,False,True,Electronics
PRD30189,Perfume,Garnier,Purely Pampering Body Mist,Beauty,193.43,193.43,No,3.6,Durable product,9e6c0da2-0421-4f2d-8114-1b2952b4713a,20,Female,Clarkshire,2024-12-02,Debit Card,No,MarketBrand,Perfume Pro Series,110,3.5,No,35,Usability issue,False,True,Beauty
PRD05504,Curtains,Philips,Philips Thermal Curtain Set,Electronics,496.94,465.29,Yes,3.7,Satisfied customer,740ca874-ae0c-4fd9-888b-ad89afd18991,56,Male,Rodriguezland,2024-04-24,Credit Card,No,Home Centre,Sheer Panel Pair,70,3.9,No,20,Usability issue,True,True,Electronics
PRD21124,Smartwatch,Fossil,SmartWatch 3,Electronics,136.92,103.34,Yes,4.1,Slow delivery,4d38b450-065b-4c07-85c6-e88e4bca5544,23,Female,North Seanfurt,2025-05-08,Credit Card,Yes,Amazfit,GTR 4,520,3.7,No,30,Damaged item,True,True,Electronics
PRD49718,Lipstick,Dove,Color Riche Shine,Beauty,294.79,294.79,No,3.6,Durable product,aa8b4a45-b753-4022-aab3-820434f9bbca,36,Female,Shannonhaven,2023-07-11,Credit Card,Yes,Revlon,Ultra HD Matte,70,4.1,Yes,20,Slow delivery,False,False,Beauty
PRD42295,Jeans,Adidas,Adidas Denim Slim,Electronics,108.51,96.33,Yes,4.1,Slow delivery,c95dc39b-b69c-4332-ab7c-ed2c11e26898,29,Female,Lake Jamesport,2023-05-13,Debit Card,No,Levi's,501 Original,90,3.9,Yes,45,Packaging issue,True,False,Clothing
PRD11077,Sofa Cover,Whirlpool,Whirlpool Premium Sofa Protector,Electronics,490.84,490.84,No,3.6,Slow delivery,d31a0404-a481-444c-979d-5f0fed7c2ade,21,Male,East Alanmouth,2023-02-08,Credit Card,Yes,Home Centre,Quilted Protector,50,3.1,No,20,Satisfied customer,True,False,Home
PRD41515,Face Cream,Dove,Dove Moisturizing Cream,Clothing,391.32,391.32,No,4.1,Satisfied customer,fd34a96b-4450-46ac-b14b-e8ffa75856ac,22,Male,Dianachester,2023-03-30,Credit Card,Yes,Lakme,Peach Milk,120,3.7,Yes,35,Satisfied customer,True,False,Beauty
PRD22063,Dress,Levi's,Levi's Utility Dress,Electronics,433.44,306.25,Yes,3.3,Battery drains fast,a26a5694-6d27-42bd-a91d-e9dc32454f88,54,Male,Jeremymouth,2024-04-08,Credit Card,No,H&M,Linen-Blend Dress,60,3.1,Yes,30,Durable product,True,False,Clothing
PRD09414,Face Cream,Sephora,Sephora All Day Hydrator,Electronics,427.16,427.16,No,4.4,Low quality,27ec1590-59ad-4c72-b941-b27f7c32c2c6,21,Male,Rachaelside,2025-05-11,Cash on Delivery,Yes,Olay,Regenerist,50,4.2,No,10,Satisfied customer,True,False,Beauty
PRD38341,Lipstick,Dove,Color Riche Shine,Beauty,54.47,43.77,Yes,3.7,Value for money (positive),de868d62-e90e-436a-9dcc-19b08734dff4,46,Female,Santanabury,2023-09-11,Debit Card,Yes,Maybelline,SuperStay Matte Ink,60,4.0,No,10,Low quality,False,False,Beauty
PRD14645,T-Shirt,H&M,Classic Logo Tee,Clothing,187.92,187.92,No,4.0,Satisfied customer,6138f3c3-e8b2-47e0-8574-226a68167c20,25,Male,Brittanyville,2024-11-25,Cash on Delivery,No,Under Armour,Iso-Chill Tee,60,3.8,Yes,30,Battery drains fast,False,True,Clothing
PRD28103,Jeans,Puma,Puma Straight Fit Jeans,Electronics,370.82,370.82,No,4.1,Heating problem,9f1ca125-128e-4465-aa01-551421c3e89c,24,Male,South Heather,2023-12-11,Debit Card,No,Diesel,D-STRUKT,70,3.9,Yes,30,Damaged item,True,False,Clothing
PRD17524,Laptop,Sony,Sony UltraBook 14,Electronics,413.05,413.05,No,4.3,Value for money (positive),655b39c6-b7ab-481b-829b-7686f640c00b,28,Male,Port Kathryn,2023-10-19,Debit Card,No,Dell,XPS 13,500,4.1,No,25,Value for money (positive),True,True,Electronics
PRD40041,Smartwatch,Fitbit,Galaxy Watch5 Pro,Beauty,148.44,117.38,Yes,4.0,Usability issue,e4addf9b-b25a-4726-9ad0-9ed4dee1b0ca,23,Male,New James,2025-05-02,Credit Card,Yes,Apple,Watch Ultra,60,3.9,No,10,Heating problem,False,False,Electronics
PRD15268,Headphones,Apple,AirPods Max,Electronics,565.05,507.32,Yes,4.4,Battery drains fast,5e58a882-810c-40b2-b34c-88b3b00842f5,43,Male,Raymondland,2023-06-19,Cash on Delivery,No,Bose,Sport Earbuds,280,4.0,Yes,35,Usability issue,False,True,Electronics
PRD30002,Laptop,Sony,Sony Notebook X,Electronics,92.61,65.84,Yes,3.8,Battery drains fast,81e01e0f-64a2-4657-94a5-be3e070d3e86,33,Male,Port Joe,2023-08-16,Debit Card,Yes,Acer,Aspire 7,520,3.5,Yes,20,Low quality,True,True,Electronics
PRD45927,Face Cream,Ge,Hydra Genius,Beauty,365.15,365.15,No,4.1,Slow delivery,c899c793-ece1-49f0-8547-cd486a5ea0d3,38,Female,East Victorstad,2023-11-11,Credit Card,Yes,Olay,Total Effects,50,4.3,Yes,10,Satisfied customer,True,True,Beauty
PRD43825,Headphones,LG,LG TONE Free FP9,Electronics,440.21,440.21,No,4.7,Durable product,e8ce39d2-4f83-4be1-bff0-3625db49d31f,28,Male,Coleburgh,2025-04-13,Debit Card,Yes,Sennheiser,Momentum 4,50,3.5,No,10,Value for money (positive),True,True,Electronics
PRD04893,Jacket,Adidas,Future Icons Windbreaker,Clothing,119.98,119.98,No,3.6,Slow delivery,26aa9a76-62ac-40c0-b425-5b25ebd03a91,43,Male,Port Darleneville,2022-09-17,Cash on Delivery,Yes,Puma,PWRWarm Jacket,90,4.4,Yes,40,Slow delivery,False,True,Clothing
PRD00726,Curtains,Philips,Philips Blackout Curtain Set,Electronics,377.32,326.75,Yes,4.0,Slow delivery,54ade6e7-d2ff-4c5c-8e07-a7be5dc73af4,40,Female,East Paulshire,2024-07-01,Credit Card,No,Target,Sheer Voile,60,3.6,No,20,Durable product,True,True,Electronics
PRD22950,Perfume,Nivea,Men Cool Kick Deodorant,Beauty,475.45,443.03,Yes,4.1,Damaged item,da27ff6a-9c39-42c9-87f1-29e77c90db1e,58,Female,Port Stevenfort,2024-02-01,Debit Card,No,MarketBrand,Perfume Pro Series,60,3.7,Yes,10,Low quality,False,True,Beauty
PRD34658,Sofa Cover,LG,CozyFit Sofa Cover,Electronics,581.65,581.65,No,4.1,Durable product,c8aa080a-19c1-4ff5-9925-07e82d5f9211,31,Male,Joelton,2024-12-27,Debit Card,No,SureFit,Stretch Sofa Cover,60,3.2,Yes,20,Heating problem,True,False,Home
PRD37214,Smartwatch,Garmin,SmartWatch 3,Electronics,184.38,184.38,No,4.5,Usability issue,3f52decd-5d97-4d10-8003-e17738f9f86c,37,Male,West Jenniferland,2022-11-04,Credit Card,Yes,Fitbit,Venu 2,450,3.9,Yes,20,Heating problem,True,True,Electronics
PRD20305,Laptop,HP,Galaxy Book3 Pro,Beauty,243.67,176.35,Yes,4.6,Low quality,30b6e754-af83-4edd-a7d0-23dad04d19ae,46,Female,Lake Michaelstad,2025-08-09,Cash on Delivery,Yes,Asus,VivoBook 15,50,4.0,Yes,10,Usability issue,False,False,Electronics
PRD15270,Headphones,Apple,Galaxy Buds2 Pro,Electronics,75.16,75.16,No,4.0,Damaged item,c1a2cc1f-3c2f-4480-b135-71b298c5c3f3,40,Male,North David,2023-10-10,Cash on Delivery,Yes,Philips,PH805,50,3.3,No,20,Usability issue,False,True,Electronics
PRD22368,Perfume,L'Oreal,L'Oreal Eau de Parfum Classic,Beauty,102.99,102.99,No,4.4,Slow delivery,49389709-c833-4c85-84e1-0d92c901f7ef,35,Female,Dustinfort,2022-09-16,Cash on Delivery,No,MarketBrand,Perfume Pro Series,70,4.2,Yes,30,Damaged item,True,True,Beauty
