label_loyal,Customer_ID,Purchase_Date,next_date,Brand,Category,City,Gender,Payment_Method,Discount_Applied,Repeat_Customer,Age,Market_Price,Purchase_Amount,Competitor_Price,Competitor_Rating,Market_Share,Rating,cust_total_so_far,cust_cat_total_so_far,cust_brand_cat_total_so_far,gap_vs_competitor,discount_amount,days_to_next
1,0020b0f3-7120-45f6-b5c3-e037ae90d459,2024-10-03,2024-10-03,Nike,Electronics,Kyleborough,Male,Credit Card,no,yes,35,65.89,65.89,60,3.7,10,4.5,1,1,1,5.890000000000001,0.0,0
1,0020b0f3-7120-45f6-b5c3-e037ae90d459,2024-10-03,2024-10-03,Nike,Electronics,Kyleborough,Male,Credit Card,no,yes,35,65.89,65.89,60,3.7,10,4.5,2,2,2,5.890000000000001,0.0,0
1,00226912-e754-44cc-8c8f-41b66a733a9a,2024-12-25,2024-12-25,Nike,Electronics,South Joseph,Male,Cash on Delivery,yes,no,57,245.3,204.19,50,4.2,20,4.3,1,1,1,154.19,41.110000000000014,0
1,00226912-e754-44cc-8c8f-41b66a733a9a,2024-12-25,2024-12-25,Nike,Electronics,South Joseph,Male,Cash on Delivery,yes,no,57,245.3,204.19,50,4.2,20,4.3,2,2,2,154.19,41.110000000000014,0
1,00226912-e754-44cc-8c8f-41b66a733a9a,2024-12-25,2024-12-25,Nike,Electronics,South Joseph,Male,Cash on Delivery,yes,no,57,245.3,204.19,50,4.2,20,4.3,3,3,3,154.19,41.110000000000014,0
1,00226912-e754-44cc-8c8f-41b66a733a9a,2024-12-25,2024-12-25,Nike,Electronics,South Joseph,Male,Cash on Delivery,yes,no,57,245.3,204.19,50,4.2,20,4.3,1,1,1,154.19,41.110000000000014,0
1,00226912-e754-44cc-8c8f-41b66a733a9a,2024-12-25,2024-12-25,Nike,Electronics,South Joseph,Male,Cash on Delivery,yes,no,57,245.3,204.19,50,4.2,20,4.3,2,2,2,154.19,41.110000000000014,0
1,00226912-e754-44cc-8c8f-41b66a733a9a,2024-12-25,2024-12-25,Nike,Electronics,South Joseph,Male,Cash on Delivery,yes,no,57,245.3,204.19,50,4.2,20,4.3,3,3,3,154.19,41.110000000000014,0
1,002b1cf8-e961-4c07-b501-cc57d2a0884b,2023-04-25,2023-04-25,Levi's,Electronics,New Johnmouth,Male,Cash on Delivery,no,no,59,328.13,328.13,50,3.5,20,4.2,1,1,1,278.13,0.0,0
1,002b1cf8-e961-4c07-b501-cc57d2a0884b,2023-04-25,2023-04-25,Levi's,Electronics,New Johnmouth,Male,Cash on Delivery,no,no,59,328.13,328.13,50,3.5,20,4.2,2,2,2,278.13,0.0,0
1,002c195f-d2c2-472f-87e0-2fd2482167b3,2022-10-13,2022-10-13,Puma,Beauty,New Tracistad,Male,Credit Card,no,no,25,138.37,138.37,60,3.7,20,4.1,1,1,1,78.37,0.0,0
1,002c195f-d2c2-472f-87e0-2fd2482167b3,2022-10-13,2022-10-13,Puma,Beauty,New Tracistad,Male,Credit Card,no,no,25,138.37,138.37,60,3.7,20,4.1,2,2,2,78.37,0.0,0
1,002c195f-d2c2-472f-87e0-2fd2482167b3,2022-10-13,2022-10-13,Puma,Beauty,New Tracistad,Male,Credit Card,no,no,25,138.37,138.37,60,3.7,20,4.1,3,3,3,78.37,0.0,0
1,002c195f-d2c2-472f-87e0-2fd2482167b3,2022-10-13,2022-10-13,Puma,Beauty,New Tracistad,Male,Credit Card,no,no,25,138.37,138.37,60,3.7,20,4.1,4,4,4,78.37,0.0,0
1,002c195f-d2c2-472f-87e0-2fd2482167b3,2022-10-13,2022-10-13,Puma,Beauty,New Tracistad,Male,Credit Card,no,no,25,138.37,138.37,60,3.7,20,4.1,1,1,1,78.37,0.0,0
1,002c195f-d2c2-472f-87e0-2fd2482167b3,2022-10-13,2022-10-13,Puma,Beauty,New Tracistad,Male,Credit Card,no,no,25,138.37,138.37,60,3.7,20,4.1,2,2,2,78.37,0.0,0
1,002c195f-d2c2-472f-87e0-2fd2482167b3,2022-10-13,2022-10-13,Puma,Beauty,New Tracistad,Male,Credit Card,no,no,25,138.37,138.37,60,3.7,20,4.1,3,3,3,78.37,0.0,0
1,002c195f-d2c2-472f-87e0-2fd2482167b3,2022-10-13,2022-10-13,Puma,Beauty,New Tracistad,Male,Credit Card,no,no,25,138.37,138.37,60,3.7,20,4.1,4,4,4,78.37,0.0,0
1,002c195f-d2c2-472f-87e0-2fd2482167b3,2022-10-13,2022-10-13,Puma,Beauty,New Tracistad,Male,Credit Card,no,no,25,138.37,138.37,60,3.7,20,4.1,1,1,1,78.37,0.0,0
1,002c195f-d2c2-472f-87e0-2fd2482167b3,2022-10-13,2022-10-13,Puma,Beauty,New Tracistad,Male,Credit Card,no,no,25,138.37,138.37,60,3.7,20,4.1,2,2,2,78.37,0.0,0
1,002c195f-d2c2-472f-87e0-2fd2482167b3,2022-10-13,2022-10-13,Puma,Beauty,New Tracistad,Male,Credit Card,no,no,25,138.37,138.37,60,3.7,20,4.1,3,3,3,78.37,0.0,0
1,002c195f-d2c2-472f-87e0-2fd2482167b3,2022-10-13,2022-10-13,Puma,Beauty,New Tracistad,Male,Credit Card,no,no,25,138.37,138.37,60,3.7,20,4.1,4,4,4,78.37,0.0,0
1,0040b404-b18b-4fa6-8e94-5804f29ade39,2024-09-04,2024-09-04,Levi's,Beauty,New Ruthton,Female,Debit Card,yes,yes,44,496.13,405.25,60,4.1,20,3.9,1,1,1,345.25,90.88,0
1,0040b404-b18b-4fa6-8e94-5804f29ade39,2024-09-04,2024-09-04,Levi's,Beauty,New Ruthton,Female,Debit Card,yes,yes,44,496.13,405.25,60,4.1,20,3.9,2,2,2,345.25,90.88,0
1,005a074d-c082-445d-9307-c90a37daccaa,2024-02-24,2024-02-24,Puma,Electronics,Andreastad,Female,Cash on Delivery,yes,yes,35,261.46,202.15,500,3.9,20,4.7,1,1,1,-297.85,59.309999999999974,0
1,005a074d-c082-445d-9307-c90a37daccaa,2024-02-24,2024-02-24,Puma,Electronics,Andreastad,Female,Cash on Delivery,yes,yes,35,261.46,202.15,500,3.9,20,4.7,2,2,2,-297.85,59.309999999999974,0
1,005d5c12-ef98-40a2-8bad-34a6cf25bb11,2025-01-30,2025-01-30,Sephora,Beauty,Priceland,Female,Credit Card,no,no,56,402.95,402.95,70,3.7,20,3.5,1,1,1,332.95,0.0,0
1,005d5c12-ef98-40a2-8bad-34a6cf25bb11,2025-01-30,2025-01-30,Sephora,Beauty,Priceland,Female,Credit Card,no,no,56,402.95,402.95,70,3.7,20,3.5,2,2,2,332.95,0.0,0
1,0072e0cc-f59e-4dd9-9dae-fe8a8a422c74,2023-08-03,2023-08-03,Nike,Electronics,West Tara,Female,Cash on Delivery,yes,no,46,271.27,196.99,60,3.2,20,4.3,1,1,1,136.99,74.27999999999997,0
1,0072e0cc-f59e-4dd9-9dae-fe8a8a422c74,2023-08-03,2023-08-03,Nike,Electronics,West Tara,Female,Cash on Delivery,yes,no,46,271.27,196.99,60,3.2,20,4.3,2,2,2,136.99,74.27999999999997,0
1,007e7a33-3125-4e36-80c2-90b59e2c1ac1,2024-05-10,2024-05-10,Panasonic,Electronics,East Jamesborough,Male,Cash on Delivery,no,no,58,34.92,34.92,70,3.4,20,4.6,1,1,1,-35.08,0.0,0
1,007e7a33-3125-4e36-80c2-90b59e2c1ac1,2024-05-10,2024-05-10,Panasonic,Electronics,East Jamesborough,Male,Cash on Delivery,no,no,58,34.92,34.92,70,3.4,20,4.6,2,2,2,-35.08,0.0,0
1,0083a488-4956-4890-98f2-8e957a69c9d6,2024-07-21,2024-07-21,L'Oreal,Electronics,Melissamouth,Female,Credit Card,no,yes,34,477.8,477.8,350,4.0,35,4.1,1,1,1,127.80000000000001,0.0,0
1,0083a488-4956-4890-98f2-8e957a69c9d6,2024-07-21,2024-07-21,L'Oreal,Electronics,Melissamouth,Female,Credit Card,no,yes,34,477.8,477.8,350,4.0,35,4.1,2,2,2,127.80000000000001,0.0,0
1,008992e4-eeeb-4515-8c8d-c59c93b5e54c,2024-09-12,2024-09-12,LG,Electronics,East Evelynshire,Female,Credit Card,no,yes,57,313.88,313.88,60,3.9,10,4.2,1,1,1,253.88,0.0,0
1,008992e4-eeeb-4515-8c8d-c59c93b5e54c,2024-09-12,2024-09-12,LG,Electronics,East Evelynshire,Female,Credit Card,no,yes,57,313.88,313.88,60,3.9,10,4.2,2,2,2,253.88,0.0,0
1,00a49d7d-71c7-4d56-a934-70359d7ad3c4,2023-05-13,2023-05-13,Sony,Electronics,Lake Elizabeth,Male,Cash on Delivery,yes,no,52,179.45,135.15,500,2.9,20,4.5,1,1,1,-364.85,44.29999999999998,0
1,00a49d7d-71c7-4d56-a934-70359d7ad3c4,2023-05-13,2023-05-13,Sony,Electronics,Lake Elizabeth,Male,Cash on Delivery,yes,no,52,179.45,135.15,500,2.9,20,4.5,2,2,2,-364.85,44.29999999999998,0
1,00af8f4e-23fa-4d12-a584-f781db8e773d,2025-03-02,2025-03-02,Dove,Electronics,Lake Summerfurt,Male,Credit Card,no,no,28,400.77,400.77,60,4.0,20,3.6,1,1,1,340.77,0.0,0
1,00af8f4e-23fa-4d12-a584-f781db8e773d,2025-03-02,2025-03-02,Dove,Electronics,Lake Summerfurt,Male,Credit Card,no,no,28,400.77,400.77,60,4.0,20,3.6,2,2,2,340.77,0.0,0
1,00af8f4e-23fa-4d12-a584-f781db8e773d,2025-03-02,2025-03-02,Dove,Electronics,Lake Summerfurt,Male,Credit Card,no,no,28,400.77,400.77,60,4.0,20,3.6,3,3,3,340.77,0.0,0
1,00af8f4e-23fa-4d12-a584-f781db8e773d,2025-03-02,2025-03-02,Dove,Electronics,Lake Summerfurt,Male,Credit Card,no,no,28,400.77,400.77,60,4.0,20,3.6,1,1,1,340.77,0.0,0
1,00af8f4e-23fa-4d12-a584-f781db8e773d,2025-03-02,2025-03-02,Dove,Electronics,Lake Summerfurt,Male,Credit Card,no,no,28,400.77,400.77,60,4.0,20,3.6,2,2,2,340.77,0.0,0
1,00af8f4e-23fa-4d12-a584-f781db8e773d,2025-03-02,2025-03-02,Dove,Electronics,Lake Summerfurt,Male,Credit Card,no,no,28,400.77,400.77,60,4.0,20,3.6,3,3,3,340.77,0.0,0
1,00d7e7ab-425d-4bc6-ab6e-e927a133e959,2024-12-10,2024-12-10,Whirlpool,Electronics,East Saraville,Female,Credit Card,no,no,19,410.39,410.39,60,3.8,30,3.9,1,1,1,350.39,0.0,0
1,00d7e7ab-425d-4bc6-ab6e-e927a133e959,2024-12-10,2024-12-10,Whirlpool,Electronics,East Saraville,Female,Credit Card,no,no,19,410.39,410.39,60,3.8,30,3.9,2,2,2,350.39,0.0,0
1,00d7e7ab-425d-4bc6-ab6e-e927a133e959,2024-12-10,2024-12-10,Whirlpool,Electronics,East Saraville,Female,Credit Card,no,no,19,410.39,410.39,60,3.8,30,3.9,3,3,3,350.39,0.0,0
1,00d7e7ab-425d-4bc6-ab6e-e927a133e959,2024-12-10,2024-12-10,Whirlpool,Electronics,East Saraville,Female,Credit Card,no,no,19,410.39,410.39,60,3.8,30,3.9,4,4,4,350.39,0.0,0
1,00d7e7ab-425d-4bc6-ab6e-e927a133e959,2024-12-10,2024-12-10,Whirlpool,Electronics,East Saraville,Female,Credit Card,no,no,19,410.39,410.39,60,3.8,30,3.9,5,5,5,350.39,0.0,0
1,00d7e7ab-425d-4bc6-ab6e-e927a133e959,2024-12-10,2024-12-10,Whirlpool,Electronics,East Saraville,Female,Credit Card,no,no,19,410.39,410.39,60,3.8,30,3.9,1,1,1,350.39,0.0,0
1,00d7e7ab-425d-4bc6-ab6e-e927a133e959,2024-12-10,2024-12-10,Whirlpool,Electronics,East Saraville,Female,Credit Card,no,no,19,410.39,410.39,60,3.8,30,3.9,2,2,2,350.39,0.0,0
