Product_ID,Product_Name,Brand,Model,Category,Market_Price,Purchase_Amount,Discount_Applied,Rating,Feedback,Customer_ID,Age,Gender,City,Purchase_Date,Payment_Method,Repeat_Customer,Competitor_Name,Competitor_Model,Competitor_Price,Competitor_Rating,Promotion_Competitor,Market_Share,Competitor_Feedback,Feedback_Sentiment,Feedback_Score,Competitor_Sentiment,Competitor_Score
PRD33554,Dress,Nike,Nike Tech Fleece Dress,Electronics,327.24,262.23,Yes,4.1,Packaging issue,d58d2c4a-9dd4-4266-be65-49e9424896b0,36,Female,Marvinchester,2024-12-18,Cash on Delivery,Yes,Zara,Satin Slip Dress,60,3.4,Yes,30,Damaged item,NEGATIVE,0.9910193085670471,NEGATIVE,0.9996194839477539
PRD09428,Sofa Cover,Panasonic,CozyFit Sofa Cover,Electronics,221.87,208.55,No,4.6,Low quality,f0e0efd3-d7e2-42f5-8f7b-4d858a0a5708,18,Other,Jeffreyborough,2024-06-27,Debit Card,No,SureFit,Deluxe Sofa Slipcover,50,3.2,No,30,Damaged item,NEGATIVE,0.9997710585594177,NEGATIVE,0.9996194839477539
PRD00200,Perfume,Nivea,Fresh Natural Deodorant,Beauty,226.07,192.6,Yes,4.2,Packaging issue,890c0f78-cc45-4c5f-bff8-06eaebde2801,50,Female,South Wesley,2024-02-26,UPI,Yes,MarketBrand,Perfume Pro Series,50,3.4,Yes,30,Damaged item,NEGATIVE,0.9910193085670471,NEGATIVE,0.9996194839477539
PRD12448,Smartphone,LG,LG Note Plus 12,Electronics,236.15,212.21,Yes,4.4,Value for money (positive),180e608a-09b1-407f-9613-cbeff083d84b,39,Male,Lake Robert,2024-06-18,Debit Card,No,Xiaomi,Redmi Note 12,50,4.0,No,10,Durable product,POSITIVE,0.9998134970664978,POSITIVE,0.9998296499252319
PRD39490,Lamp,Philips,Hue Go Portable Lamp,Electronics,124.68,111.64,Yes,3.7,Value for money (positive),a02ef67e-4509-480b-b4fc-5ed661364cf4,38,Female,Rodriguezton,2025-02-04,UPI,No,Mi,Bedside Lamp 2,70,3.8,No,10,Satisfied customer,POSITIVE,0.9998134970664978,POSITIVE,0.9997509121894836
PRD42725,Smartwatch,Samsung,Galaxy Watch6,Electronics,104.2,90.12,Yes,4.4,Durable product,59c92b6a-60f1-40c0-924d-0480f0872341,25,Female,Port Timothyside,2024-02-25,Debit Card,Yes,Apple,Watch Ultra,70,4.5,Yes,30,Battery drains fast,POSITIVE,0.9998296499252319,NEGATIVE,0.7297149896621704
PRD10823,Curtains,Whirlpool,Whirlpool Thermal Curtain Set,Electronics,215.56,187.27,Yes,3.4,Heating problem,2163321f-f2ce-47b4-8d08-6e7cdb964db1,45,Female,South Jeffrey,2025-01-10,Debit Card,No,Target,Room Darkening,60,3.5,No,10,Battery drains fast,NEGATIVE,0.9961709380149841,NEGATIVE,0.7297149896621704
PRD49499,Perfume,L'Oreal,L'Oreal Eau de Parfum Classic,Beauty,351.59,325.56,No,4.4,Satisfied customer,fcb0abfd-137f-40e7-a45a-c934e3b785c7,27,Male,Kevinville,2024-05-15,UPI,Yes,MarketBrand,Perfume Pro Series,60,4.4,No,30,Heating problem,POSITIVE,0.9997509121894836,NEGATIVE,0.9961709380149841
PRD04145,Smartphone,Apple,iPhone 14,Electronics,168.33,145.54,Yes,4.3,Slow delivery,6d62a160-e08e-44a2-bb30-4c6f036058d2,60,Other,Tamaraville,2024-05-18,Cash on Delivery,Yes,Xiaomi,13 Pro,350,3.8,No,45,Low quality,NEGATIVE,0.9997106194496155,NEGATIVE,0.9997710585594177
PRD36959,Lamp,Whirlpool,Whirlpool LED Bulb 9W,Electronics,20.67,18.05,No,3.3,Slow delivery,2a473047-ae1e-44b8-99da-aa49766cf11a,39,Other,Lake Ryan,2024-03-31,Debit Card,Yes,Panasonic,LED 9W Bulb,50,4.3,Yes,10,Slow delivery,NEGATIVE,0.9997106194496155,NEGATIVE,0.9997106194496155
PRD43107,Lipstick,L'Oreal,Color Riche Shine,Beauty,574.52,485.79,No,3.7,Slow delivery,238bc762-539f-47ff-a048-2a1d0c681c73,20,Female,Pamelaview,2024-07-19,UPI,No,Maybelline,Color Sensational,50,3.4,No,30,Damaged item,NEGATIVE,0.9997106194496155,NEGATIVE,0.9996194839477539
PRD38696,Face Cream,L'Oreal,Age Perfect Night Cream,Beauty,390.23,323.84,Yes,3.6,Usability issue,3d1b4612-5225-4fae-ad28-6bb47374d3c3,45,Other,Davidland,2024-12-30,Debit Card,No,Nivea,Soft,60,3.8,Yes,30,Value for money (positive),NEGATIVE,0.8492327928543091,POSITIVE,0.9998134970664978
PRD06189,Face Cream,L'Oreal,Hydra Genius,Beauty,243.2,206.95,Yes,3.5,Durable product,921300ff-a7e9-4b64-a69a-583d732849a2,33,Female,Kennethchester,2024-11-22,UPI,Yes,Garnier,Bright Complete,50,3.5,Yes,30,Durable product,POSITIVE,0.9998296499252319,POSITIVE,0.9998296499252319
PRD01415,Cookware,Philips,Daily Collection Kettle,Electronics,218.94,180.3,No,3.2,Packaging issue,bbe167b1-d693-4b15-8e15-b1b45e371ef3,46,Other,West Martin,2024-09-05,Credit Card,No,Hawkins,Contura,70,3.8,Yes,20,Usability issue,NEGATIVE,0.9910193085670471,NEGATIVE,0.8492327928543091
PRD18472,Shampoo,Nivea,Anti-Dandruff Power,Beauty,497.0,432.98,Yes,3.6,Slow delivery,9fe87b72-5054-45bc-a1e5-9dc72a79002e,55,Male,West Peterland,2024-06-11,Cash on Delivery,No,Head & Shoulders,Classic Clean,60,4.4,No,30,Heating problem,NEGATIVE,0.9997106194496155,NEGATIVE,0.9961709380149841
