Feedback,Rating,Competitor_Rating,Competitor_Feedback,Market_Price,Competitor_Price,Rating_Diff,Feedback_Sentiment,Feedback_Score,Competitor_Sentiment,Competitor_Score
Packaging issue,4.1,3.4,Damaged item,327.24,60,0.6999999999999997,Negative,0.49921920895576477,Negative,0.598777174949646
Low quality,4.6,3.2,Damaged item,221.87,50,1.3999999999999997,Negative,0.7362154126167297,Negative,0.598777174949646
Packaging issue,4.2,3.4,Damaged item,226.07,50,0.8000000000000003,Negative,0.49921920895576477,Negative,0.598777174949646
Value for money (positive),4.4,4.0,Durable product,236.15,50,0.4000000000000003,Positive,0.6127797365188599,Negative,0.6017242670059204
Value for money (positive),3.7,3.8,Satisfied customer,124.68,70,-0.0999999999999996,Positive,0.6127797365188599,Positive,0.889923095703125
Durable product,4.4,4.5,Battery drains fast,104.2,70,-0.0999999999999996,Negative,0.6017242670059204,Negative,0.7789279818534851
Heating problem,3.4,3.5,Battery drains fast,215.56,60,-0.1,Negative,0.5841841697692871,Negative,0.7789279818534851
Satisfied customer,4.4,4.4,Heating problem,351.59,60,0.0,Positive,0.889923095703125,Negative,0.5841841697692871
Slow delivery,4.3,3.8,Low quality,168.33,350,0.5,Negative,0.7610791921615601,Negative,0.7362154126167297
Slow delivery,3.3,4.3,Slow delivery,20.67,50,-1.0,Negative,0.7610791921615601,Negative,0.7610791921615601
Slow delivery,3.7,3.4,Damaged item,574.52,50,0.3000000000000002,Negative,0.7610791921615601,Negative,0.598777174949646
Usability issue,3.6,3.8,Value for money (positive),390.23,60,-0.1999999999999997,Negative,0.5037590265274048,Positive,0.6127797365188599
Durable product,3.5,3.5,Durable product,243.2,50,0.0,Negative,0.6017242670059204,Negative,0.6017242670059204
Packaging issue,3.2,3.8,Usability issue,218.94,70,-0.5999999999999996,Negative,0.49921920895576477,Negative,0.5037590265274048
Slow delivery,3.6,4.4,Heating problem,497.0,60,-0.8000000000000003,Negative,0.7610791921615601,Negative,0.5841841697692871
Battery drains fast,4.5,3.6,Durable product,590.87,120,0.8999999999999999,Negative,0.7789279818534851,Negative,0.6017242670059204
Value for money (positive),3.6,4.0,Packaging issue,399.4,60,-0.3999999999999999,Positive,0.6127797365188599,Negative,0.49921920895576477
Low quality,3.2,4.1,Satisfied customer,374.3,60,-0.8999999999999995,Negative,0.7362154126167297,Positive,0.889923095703125
Usability issue,4.4,4.3,Low quality,56.38,50,0.1000000000000005,Negative,0.5037590265274048,Negative,0.7362154126167297
Packaging issue,4.3,4.6,Durable product,293.74,70,-0.2999999999999998,Negative,0.49921920895576477,Negative,0.6017242670059204
Value for money (positive),3.9,3.6,Heating problem,276.19,520,0.2999999999999998,Positive,0.6127797365188599,Negative,0.5841841697692871
Heating problem,3.7,4.1,Satisfied customer,25.34,90,-0.3999999999999994,Negative,0.5841841697692871,Positive,0.889923095703125
Satisfied customer,3.8,2.9,Heating problem,135.13,50,0.8999999999999999,Positive,0.889923095703125,Negative,0.5841841697692871
Durable product,4.0,4.0,Damaged item,67.97,280,0.0,Negative,0.6017242670059204,Negative,0.598777174949646
Heating problem,3.7,4.4,Slow delivery,14.42,80,-0.7000000000000002,Negative,0.5841841697692871,Negative,0.7610791921615601
Heating problem,4.1,3.8,Satisfied customer,454.8,50,0.2999999999999998,Negative,0.5841841697692871,Positive,0.889923095703125
Heating problem,4.3,3.2,Damaged item,69.52,280,1.0999999999999996,Negative,0.5841841697692871,Negative,0.598777174949646
Durable product,3.6,3.5,Usability issue,193.43,110,0.1,Negative,0.6017242670059204,Negative,0.5037590265274048
Damaged item,3.6,4.2,Value for money (positive),90.05,70,-0.6000000000000001,Negative,0.598777174949646,Positive,0.6127797365188599
Battery drains fast,3.9,3.7,Satisfied customer,113.27,50,0.1999999999999997,Negative,0.7789279818534851,Positive,0.889923095703125
Usability issue,4.5,3.2,Low quality,614.04,50,1.2999999999999998,Negative,0.5037590265274048,Negative,0.7362154126167297
Low quality,3.1,3.6,Low quality,230.93,70,-0.5,Negative,0.7362154126167297,Negative,0.7362154126167297
Satisfied customer,3.7,3.9,Usability issue,496.94,70,-0.1999999999999997,Positive,0.889923095703125,Negative,0.5037590265274048
Value for money (positive),3.7,3.5,Damaged item,354.87,80,0.2000000000000001,Positive,0.6127797365188599,Negative,0.598777174949646
Battery drains fast,4.2,3.3,Battery drains fast,333.84,60,0.9000000000000004,Negative,0.7789279818534851,Negative,0.7789279818534851
Slow delivery,4.1,3.7,Damaged item,136.92,520,0.3999999999999994,Negative,0.7610791921615601,Negative,0.598777174949646
Durable product,3.6,4.1,Slow delivery,294.79,70,-0.4999999999999995,Negative,0.6017242670059204,Negative,0.7610791921615601
Slow delivery,4.1,3.9,Packaging issue,108.51,90,0.1999999999999997,Negative,0.7610791921615601,Negative,0.49921920895576477
Usability issue,3.9,3.9,Durable product,228.39,70,0.0,Negative,0.5037590265274048,Negative,0.6017242670059204
Slow delivery,3.6,3.1,Satisfied customer,490.84,50,0.5,Negative,0.7610791921615601,Positive,0.889923095703125
Satisfied customer,4.1,3.7,Satisfied customer,391.32,120,0.3999999999999994,Positive,0.889923095703125,Positive,0.889923095703125
Battery drains fast,3.3,3.1,Durable product,433.44,60,0.1999999999999997,Negative,0.7789279818534851,Negative,0.6017242670059204
Low quality,4.4,4.2,Satisfied customer,427.16,50,0.2000000000000001,Negative,0.7362154126167297,Positive,0.889923095703125
Value for money (positive),3.7,4.0,Low quality,54.47,60,-0.2999999999999998,Positive,0.6127797365188599,Negative,0.7362154126167297
Value for money (positive),4.0,4.1,Slow delivery,434.27,60,-0.0999999999999996,Positive,0.6127797365188599,Negative,0.7610791921615601
Usability issue,3.5,4.3,Usability issue,172.72,70,-0.7999999999999998,Negative,0.5037590265274048,Negative,0.5037590265274048
Satisfied customer,4.0,3.8,Battery drains fast,187.92,60,0.2000000000000001,Positive,0.889923095703125,Negative,0.7789279818534851
Packaging issue,4.5,3.5,Battery drains fast,284.14,50,1.0,Negative,0.49921920895576477,Negative,0.7789279818534851
Heating problem,4.1,3.9,Damaged item,370.82,70,0.1999999999999997,Negative,0.5841841697692871,Negative,0.598777174949646
Value for money (positive),4.3,4.1,Value for money (positive),413.05,500,0.2000000000000001,Positive,0.6127797365188599,Positive,0.6127797365188599
Satisfied customer,3.8,3.0,Usability issue,505.12,70,0.7999999999999998,Positive,0.889923095703125,Negative,0.5037590265274048
Satisfied customer,3.0,4.0,Heating problem,560.11,70,-1.0,Positive,0.889923095703125,Negative,0.5841841697692871
Usability issue,4.1,3.8,Heating problem,400.84,50,0.2999999999999998,Negative,0.5037590265274048,Negative,0.5841841697692871
Usability issue,4.0,3.9,Heating problem,148.44,60,0.1,Negative,0.5037590265274048,Negative,0.5841841697692871
Battery drains fast,4.4,4.0,Usability issue,565.05,280,0.4000000000000003,Negative,0.7789279818534851,Negative,0.5037590265274048
Damaged item,3.9,4.3,Usability issue,277.76,70,-0.3999999999999999,Negative,0.598777174949646,Negative,0.5037590265274048
Battery drains fast,3.8,3.5,Low quality,92.61,520,0.2999999999999998,Negative,0.7789279818534851,Negative,0.7362154126167297
Slow delivery,4.1,4.3,Satisfied customer,365.15,50,-0.2000000000000001,Negative,0.7610791921615601,Positive,0.889923095703125
Durable product,4.7,3.5,Value for money (positive),440.21,50,1.2000000000000002,Negative,0.6017242670059204,Positive,0.6127797365188599
Battery drains fast,4.5,3.7,Low quality,18.15,70,0.7999999999999998,Negative,0.7789279818534851,Negative,0.7362154126167297
Slow delivery,3.6,4.4,Slow delivery,119.98,90,-0.8000000000000003,Negative,0.7610791921615601,Negative,0.7610791921615601
Slow delivery,4.0,3.6,Durable product,377.32,60,0.3999999999999999,Negative,0.7610791921615601,Negative,0.6017242670059204
Damaged item,4.1,3.7,Low quality,475.45,60,0.3999999999999994,Negative,0.598777174949646,Negative,0.7362154126167297
Durable product,4.1,3.2,Heating problem,581.65,60,0.8999999999999995,Negative,0.6017242670059204,Negative,0.5841841697692871
Usability issue,4.5,3.9,Heating problem,184.38,450,0.6000000000000001,Negative,0.5037590265274048,Negative,0.5841841697692871
Low quality,4.6,4.0,Usability issue,243.67,50,0.5999999999999996,Negative,0.7362154126167297,Negative,0.5037590265274048
Damaged item,4.0,3.3,Usability issue,75.16,50,0.7000000000000002,Negative,0.598777174949646,Negative,0.5037590265274048
Slow delivery,4.4,4.2,Damaged item,102.99,70,0.2000000000000001,Negative,0.7610791921615601,Negative,0.598777174949646
Value for money (positive),3.8,3.5,Low quality,146.65,110,0.2999999999999998,Positive,0.6127797365188599,Negative,0.7362154126167297
Durable product,4.5,3.7,Battery drains fast,310.59,50,0.7999999999999998,Negative,0.6017242670059204,Negative,0.7789279818534851
Satisfied customer,3.5,3.9,Durable product,105.45,50,-0.3999999999999999,Positive,0.889923095703125,Negative,0.6017242670059204
Satisfied customer,3.7,4.5,Damaged item,212.37,50,-0.7999999999999998,Positive,0.889923095703125,Negative,0.598777174949646
Damaged item,4.4,4.2,Damaged item,400.71,50,0.2000000000000001,Negative,0.598777174949646,Negative,0.598777174949646
Packaging issue,3.8,3.1,Slow delivery,91.41,450,0.6999999999999997,Negative,0.49921920895576477,Negative,0.7610791921615601
